,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details,Class,Version2,Version1
4674,25147,3.4,283,2020,28813.0,Acura,Great, Acura TLX FWD,FWD,TLX,Acura
4675,38505,4.5,4167,2016,28998.0,Ford,Good,6 Ford Taurus SHO,SHO,Taurus,Ford
4676,32219,4.5,162,2016,150995.0,Porsche,Unknown,6 Porsche 911 4 GTS,GTS,4,911
4677,30453,4.8,2084,2022,55790.0,Acura,Good, Acura MDX A-Spec,A-Spec,MDX,Acura
4678,65562,3.0,888,2019,23995.0,Chrysler,Great,9 Chrysler 300 S,S,300,Chrysler
4679,18722,4.4,1161,2021,32000.0,Ford,Good, Ford Bronco Sport Big Bend,Bend,Big,Sport
4680,33682,4.9,1964,2020,30788.0,INFINITI,Great, INFINITI QX60 Luxe,Luxe,QX60,INFINITI
4681,23772,4.1,253,2021,83400.0,Porsche,Good, Porsche Cayenne AWD,AWD,Cayenne,Porsche
4682,70125,4.7,1575,2019,19077.0,Dodge,Great,9 Dodge Grand Caravan SXT,SXT,Caravan,Grand
4683,9159,4.3,236,2022,48995.0,Kia,Great, Kia Telluride EX,EX,Telluride,Kia
4684,35174,4.3,1965,2020,36339.0,Ford,Good, Ford F-150 XL,XL,F-150,Ford
4685,38114,1.7,199,2019,31887.0,BMW,Great,9 BMW 530 i,i,530,BMW
4686,19007,3.3,138,2021,48999.0,Chevrolet,Good, Chevrolet Traverse High Country,Country,High,Traverse
4687,73301,4.8,588,2020,62991.0,RAM,Unknown, RAM 2500 Laramie,Laramie,2500,RAM
4688,29170,4.2,507,2020,62500.0,GMC,Great, GMC Yukon XL Denali,Denali,XL,Yukon
4689,52813,4.0,178,2021,31989.0,Buick,Great, Buick Enclave Essence,Essence,Enclave,Buick
4690,1201,4.9,4801,2022,30649.0,Honda,Good, Honda Civic EX,EX,Civic,Honda
4691,14256,4.8,565,2021,61994.0,INFINITI,Good, INFINITI QX80 PREMIUM SELECT,SELECT,PREMIUM,QX80
4692,24266,4.7,1052,2020,31517.0,Toyota,Good, Toyota RAV4 XLE,XLE,RAV4,Toyota
4693,37882,4.9,2019,2020,36990.0,Cadillac,Great, Cadillac XT4 Sport,Sport,XT4,Cadillac
4694,20869,4.8,4198,2021,26995.0,Nissan,Good, Nissan Rogue S,S,Rogue,Nissan
4695,5970,4.4,1633,2022,35675.0,Honda,Good, Honda Civic Si Base,Base,Si,Civic
4696,61872,4.9,447,2020,32000.0,Jeep,Unknown, Jeep Wrangler Unlimited Sport,Sport,Unlimited,Wrangler
4697,60816,4.8,3811,2019,27900.0,Toyota,Good,9 Toyota Highlander LE,LE,Highlander,Toyota
4698,20438,4.8,2768,2022,52000.0,Kia,Fair, Kia Carnival EX,EX,Carnival,Kia
