,Title,Mileage,Price,deal_status,Features,Rating,Rating-Count
132,2012 Ford F-150 XLT," 115,675 mi.","$17,998",Good Deal,"keyless entry, Heated Seats, parking distance sensors, parking assistance",4.6,(0 reviews)
133,2018 Land Rover Range Rover Velar P380 SE R-Dynamic," 38,119 mi.","$49,987","Good Deal | $1,442 under","keyless entry, Heated Seats, parking distance sensors, parking assistance",4.1,"(1,609 reviews)"
134,2022 Chevrolet Bolt EUV LT," 2,483 mi.","$32,554",Good Deal,Nan,5.0,"(1,524 reviews)"
135,2021 GMC Canyon Elevation Standard," 19,975 mi.","$32,000","Great Deal | $2,053 under","Remote Start, headlight control - auto highbeam, Keyless Start, keyless entry, LED Headlights, Alloy Wheels, Tow Hitch, Bluetooth, USB Port, Navigation System, Heated Seats, Leather Seats, Third Row Seating, trailer assist, Rear Cross Traffic Alert, Blind Spot Monitor, parking distance sensors, parking assistance, Lane Departure Warning, collision warning system",3.8,(467 reviews)
136,2015 Audi S3 2.0T Premium Plus," 75,000 mi.","$24,999",Good Deal,"keyless entry, LED Headlights, Alloy Wheels, Cooled Seats",4.8,(373 reviews)
137,2018 BMW 530 i xDrive," 41,335 mi.","$32,955","Great Deal | $4,467 under",Nan,4.8,(544 reviews)
138,2019 Buick Regal Sportback Preferred," 20,306 mi.","$22,966","Great Deal | $3,157 under","keyless entry, Keyless Start, LED Headlights, USB Port, Sunroof/Moonroof, Heated Seats, Cooled Seats, Backup Camera",3.1,(105 reviews)
139,2021 BMW X3 M AWD," 7,159 mi.","$68,999","Good Deal | $3,228 under","parking assistance, parking distance sensors",4.6,(741 reviews)
140,2018 Lincoln Navigator Select," 98,576 mi.","$38,991",Home Delivery,"keyless entry, LED Headlights, Premium Sound System, Heated Steering Wheel, Blind Spot Monitor, parking distance sensors, parking assistance",4.8,"(2,393 reviews)"
141,2009 Chevrolet Suburban 1500 LTZ," 127,305 mi.","$15,995",Hot Car,keyless entry,3.1,(157 reviews)
142,2022 Jaguar XF P300 R-Dynamic SE," 8,472 mi.","$60,998",Good Deal,"keyless entry, headlight control - auto highbeam, USB Port, Navigation System, Apple CarPlay/Android Auto, Sunroof/Moonroof, Cooled Seats, traffic sign recognition, Backup Camera, parking distance sensors, Rear Cross Traffic Alert, parking assistance, dynamic steering, autonomous drive, collision warning system, Automatic Emergency Braking, driver monitor",Nan,(66 reviews)
143,2018 Mercedes-Benz GLC 300 Base 4MATIC," 49,658 mi.","$31,784","Great Deal | $8,538 under","keyless entry, LED Headlights, Cooled Seats, Heated Steering Wheel, Heated Seats, parking distance sensors, parking assistance",4.9,(402 reviews)
144,2019 Lincoln MKC Select," 25,739 mi.","$30,612",Good Deal,Nan,4.6,(524 reviews)
145,2022 Jeep Grand Cherokee WK Laredo," 7,080 mi.","$45,500","Great Deal | $3,024 under",Sunroof/Moonroof,4.6,(156 reviews)
146,2022 Mercedes-Benz A-Class A 220 4MATIC," 4,851 mi.","$40,630","Good Deal | $1,167 under",Nan,4.8,(170 reviews)
147,2018 Nissan Altima 2.5 SV," 71,118 mi.","$16,033","Great Deal | $1,929 under",Nan,5.0,(939 reviews)
148,2006 Chevrolet Corvette ," 48,481 mi.","$27,495",Good Deal | $526 under,"parking distance sensors, parking assistance",4.8,(34 reviews)
149,2021 Kia Telluride SX," 17,666 mi.","$46,995","Great Deal | $4,626 under",Nan,4.1,(477 reviews)
150,2021 Kia Telluride SX," 17,666 mi.","$46,995","Great Deal | $4,626 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Cooled Seats, Sunroof/Moonroof, Heated Steering Wheel, driver monitor, dynamic steering, Blind Spot Monitor, Automatic Emergency Braking, collision warning system, parking assistance, Lane Departure Warning, traffic sign recognition, Rear Cross Traffic Alert, parking distance sensors",4.1,(477 reviews)
151,2022 Nissan Rogue Sport S," 1,113 mi.","$25,000",CPO Warrantied,Nan,4.4,(221 reviews)
152,2023 Cadillac XT6 Premium Luxury AWD," 1,441 mi.","$63,500",Home Delivery,"keyless entry, Keyless Start, LED Headlights, USB Port, Automatic Emergency Braking, collision warning system, Backup Camera, parking assistance, parking distance sensors",3.2,(779 reviews)
153,2017 Audi A6 2.0T Premium," 73,270 mi.","$23,998","Great Deal | $4,057 under",Nan,4.8,(30 reviews)
