,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2219,40052,4.9,322,2017,58891.0,GMC,Great,17 GMC Sierra 2500 Denali
2220,13671,3.8,1144,2021,37995.0,Ford,Good,1 Ford Bronco Sport Big Bend
2221,11389,4.6,2659,2019,39500.0,Volvo,Good,19 Volvo S60 T6 R-Design
2222,645,4.9,52,2020,99995.0,Chevrolet,Great, Chevrolet Corvette Stingray w/3LT
2224,70872,4.7,891,2018,21891.0,Chevrolet,Great,18 Chevrolet Traverse LS
2225,7674,4.7,3678,2022,56488.0,Toyota,Good, Toyota Tundra Limited
2226,21448,4.4,1396,2021,99888.0,Mercedes-Benz,Good,1 Mercedes-Benz AMG C 63 S
2227,8489,4.2,325,2020,31575.0,Toyota,Good, Toyota 86 Base
2228,14836,2.3,31,2017,72788.0,Porsche,Unknown,17 Porsche 718 Boxster S
2229,240,4.4,109,2022,57200.0,Kia,Great, Kia EV6 Wind
2230,23152,4.9,333,2021,41000.0,Toyota,Unknown,1 Toyota Tacoma TRD Off-Ro
2231,21572,4.7,938,2021,34500.0,Volkswagen,Great,1 Volkswagen Atlas Cross Sport 2.0T SE w/Technology
2232,17819,4.8,514,2021,47994.0,Volvo,Great,1 Volvo XC90 T6 Momentum 7 Passenger
2233,21872,4.7,391,2019,29399.0,Honda,Fair,19 Honda Civic Si Base
2235,9550,4.4,703,2022,120584.0,Cadillac,Good, Cadillac Escalade ESV Premium Luxury Platinum
2237,46364,4.8,2921,2017,28730.0,Honda,Good,17 Honda Odyssey EX-L
2238,3471,4.6,717,2022,30490.0,Nissan,Great, Nissan Frontier SV
2239,37072,4.8,929,2020,36898.0,INFINITI,Unknown, INFINITI Q50 EDITION 3
2240,4737,2.4,190,2022,57000.0,Kia,Great, Kia EV6 GT-Line
2241,5890,1.4,22,2022,44890.0,Toyota,Good, Toyota Avalon Touring
2242,34877,4.1,253,2019,58900.0,Porsche,Great,19 Porsche Cayenne Base
2243,12379,4.8,2261,2021,39999.0,Nissan,Great,1 Nissan Murano Platinum
2244,53112,4.6,770,2020,50994.0,GMC,Great, GMC Sierra 1500 Denali
2245,10469,4.7,648,2022,39900.0,Ford,Good, Ford Maverick XLT
2246,15411,3.5,431,2022,115900.0,Cadillac,Great, Cadillac Escalade Sport Platinum
2247,19305,4.6,3552,2019,33881.0,BMW,Good,19 BMW i3 120Ah w/Range Extender
2248,88833,4.5,87,2018,30995.0,Honda,Good,18 Honda Odyssey EX-L
2249,35746,2.2,82,2019,49740.0,BMW,Good,19 BMW X6 sDrive35i
2250,19284,4.9,586,2022,87997.0,BMW,Good, BMW X6 M50i
2251,19311,4.8,1854,2020,45983.0,Cadillac,Good, Cadillac CT5 Premium Luxury AWD
2252,8810,4.9,2017,2020,43990.0,Cadillac,Good, Cadillac CT5 Sport
2254,11358,4.4,109,2022,52900.0,Kia,Fair, Kia Stinger GT
2255,26921,2.8,208,2019,44988.0,Volvo,Good,19 Volvo S90 T6 Inscription
2256,7678,4.8,630,2020,41820.0,Kia,Good, Kia Niro EV EX Premium
2257,34936,4.7,1382,2019,37487.0,GMC,Good,19 GMC Sierra 1500 Limited SLE
