,Price,Year,Rating,Mileage,Rating-Count,Name,Status,model_details
1831,57990.0,2021,4.7,16830,1844,INFINITI,Great,INFINITI QX80 Luxe
1832,33923.0,2020,4.7,23914,133,Dodge,Good,Dodge Durango SXT
1833,69911.0,2021,4.0,22536,1289,BMW,Great,BMW M550 i xDrive
1834,36968.0,2021,3.7,22921,1682,Volvo,Good,Volvo S60 T5 R-Design
1835,64900.0,2020,5.0,20232,127,Porsche,Fair,Porsche Macan S
1836,28500.0,2020,4.9,27720,1226,Volkswagen,Great,Volkswagen Arteon 2.0T SE
1837,21467.0,2019,4.8,53449,1348,Acura,Great,9 Acura ILX Base
1838,37490.0,2020,4.4,47965,245,Ford,Great,Ford Explorer Limited
1839,29161.0,2020,4.2,43579,1363,Acura,Good,Acura ILX Premium & A-SPEC Packages
1840,43981.0,2019,4.8,39966,885,BMW,Great,9 BMW 740 i xDrive
1841,53349.0,2019,4.7,35873,652,Cadillac,Good,9 Cadillac CT6 3.0 Twin Turbo Sport
1843,43989.0,2020,3.2,56766,843,Chevrolet,Good,Chevrolet Express 3500 LT
1844,28199.0,2019,3.1,42146,231,Ford,Great,9 Ford Edge TITANIUM
1845,29525.0,2020,4.8,18400,1609,Acura,Great,Acura TLX FWD
1846,42487.0,2019,4.8,23868,816,BMW,Great,9 BMW 540 i
1847,26987.0,2016,4.9,47105,2027,Mercedes-Benz,Great,6 Mercedes-Benz GLC-Class GLC 300 4MATIC
1849,65495.0,2018,4.5,23688,87,Maserati,Great,Maserati GranTurismo Sport
1850,53841.0,2021,4.2,11481,2860,Chevrolet,Great,Chevrolet Silverado 1500 High Country
1851,55990.0,2021,4.0,15385,502,Ford,Good,Ford Explorer Platinum
1853,32968.0,2021,3.7,28815,1682,Volvo,Great,Volvo S60 T5 Momentum
1854,45999.0,2021,4.2,15388,791,Jeep,Great,Jeep Gladiator Mojave
1855,38932.0,2022,4.5,3589,709,Toyota,Great,Toyota Highlander L
1856,58998.0,2022,4.8,17353,930,INFINITI,Unknown,INFINITI QX60 SENSORY
1858,45890.0,2021,4.8,13496,866,Ford,Great,Ford F-150 XLT
1859,129994.0,2021,4.8,1949,421,Porsche,Great,Porsche Taycan 4S
1860,37875.0,2020,3.2,46761,141,Buick,Great,Buick Enclave Premium
1861,43900.0,2021,3.0,16387,141,Cadillac,Good,Cadillac CT4 Sport
1862,26864.0,2018,4.9,38947,350,Buick,Great,Buick Envision Essence
1863,38897.0,2020,4.7,19555,517,Acura,Good,Acura RDX Technology Package
1864,48750.0,2021,4.7,13455,1122,Volvo,Unknown,Volvo V90 T5 Inscription
1866,23975.0,2019,3.8,66776,788,Dodge,Good,9 Dodge Charger SXT
1868,67885.0,2019,4.3,28325,458,BMW,Good,9 BMW X5 xDrive50i
1869,39929.0,2021,3.0,15844,430,Dodge,Unknown,Dodge Durango GT Plus
1870,41290.0,2020,4.1,28037,779,Cadillac,Great,Cadillac XT6 Premium Luxury AWD
1871,38396.0,2021,4.5,18200,1242,Chrysler,Great,Chrysler Pacifica Hybrid Touring L
1872,38998.0,2021,4.7,6904,543,Volkswagen,Good,Volkswagen Arteon 2.0T SEL R-Line 4MOTION
1873,58999.0,2022,3.9,2111,66,INFINITI,Fair,INFINITI Q60 3.0t Red Sport 4
1874,34995.0,2020,4.1,29688,605,Dodge,Great,Dodge Durango GT
1875,27562.0,2019,4.5,26418,26,GMC,Good,9 GMC Terrain SLE
1876,52997.0,2020,4.5,33218,469,Porsche,Great,Porsche Macan Base
1877,74989.0,2021,4.3,19731,1210,BMW,Good,BMW 740 i xDrive
1878,30995.0,2022,3.3,2527,506,Nissan,Great,Nissan Frontier S
1879,37714.0,2022,4.7,3235,612,Jeep,Great,Jeep Cherokee Limited
1880,51049.0,2021,4.9,52224,171,Chevrolet,Good,Chevrolet Silverado 1500 LT Trail Boss
1881,29699.0,2021,4.4,35261,598,Kia,Good,Kia K5 GT-Line
1882,157799.0,2020,4.7,25415,244,Porsche,Good,Porsche Taycan Turbo S
1883,42589.0,2019,4.9,26991,104,Chevrolet,Good,9 Chevrolet Blazer RS
1884,28700.0,2020,4.6,19732,350,Volkswagen,Fair,Volkswagen Jetta GLI 2.0T S
1885,40000.0,2020,4.1,3220,65,Ford,Great,Ford Mustang GT Premium
1886,107000.0,2021,4.6,11310,2659,Cadillac,Good,Cadillac Escalade Premium Luxury Platinum
1887,44995.0,2018,4.8,15632,597,Volvo,Great,Volvo V90 Cross Country T6
1888,70999.0,2020,4.7,42363,942,BMW,Good,BMW X6 M50i
1889,29995.0,2020,4.9,48212,1789,Chevrolet,Great,Chevrolet Traverse LS
1890,43921.0,2021,4.8,18773,1678,Acura,Good,Acura RDX w/A-Spec Package
