,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
1938,Aston Martin,2021 Aston Martin Vantage Automatic,2169 ,Nan,4 ,158899,CPO Warrantied,2021,Unknown
1939,Toyota,2022 Toyota Tundra Limited,9439 ,4.7,731 ,56857,Great Deal | $4072 under,2022,Great
1940,BMW,2019 BMW 440 Gran Coupe i xDrive,37796 ,4.7,2524 ,37898,Great Deal | $6140 under,2019,Great
1941,Toyota,2022 Toyota Highlander LE,305 ,4.6,652 ,41197,Good Deal,2022,Good
1942,Nissan,2022 Nissan Pathfinder SV,10055 ,4.9,1202 ,41990,Good Deal,2022,Good
1943,Chevrolet,2019 Chevrolet Blazer RS,25308 ,4.8,861 ,35549,Great Deal | $2810 under,2019,Great
1944,INFINITI,2020 INFINITI QX80 Luxe,34220 ,4.9,737 ,51992,Great Deal | $7480 under,2020,Great
1945,Porsche,2017 Porsche 911 Carrera GTS,43748 ,4.4,72 ,112898,CPO Warrantied,2017,Unknown
1946,INFINITI,2022 INFINITI QX55 SENSORY,16448 ,4.7,2032 ,50895,Good Deal | $672 under,2022,Good
1947,Jeep,2022 Jeep Grand Wagoneer Series III,9151 ,3.8,315 ,98993,Good Deal,2022,Good
1948,Cadillac,2019 Cadillac XT4 Premium Luxury,43903 ,2.2,138 ,32488,Great Deal | $2962 under,2019,Great
1949,Toyota,2017 Toyota RAV4 Hybrid SE,42898 ,4.4,3868 ,31977,Good Deal,2017,Good
1950,BMW,2020 BMW 430 i xDrive,19676 ,2.7,744 ,36995,Great Deal | $9634 under,2020,Great
1951,Volkswagen,2020 Volkswagen Atlas 3.6L SEL Premium,35440 ,4.8,1045 ,42780,Good Deal | $1995 under,2020,Good
1952,Porsche,2019 Porsche 911 Carrera,25651 ,4.3,86 ,97693,CPO Warrantied,2019,Unknown
1953,Bentley,2019 Bentley Bentayga V8,77315 ,Nan,Nan,99950,CPO Warrantied,2019,Unknown
1954,Volvo,2020 Volvo V90 Cross Country T6,27053 ,4.8,950 ,46990,Good Deal | $1936 under,2020,Good
1955,Chrysler,2020 Chrysler Pacifica Limited,71241 ,4.9,1139 ,27700,Great Deal | $6484 under,2020,Great
1956,Ford,2019 Ford Expedition XLT,38938 ,4.4,1370 ,49909,Good Deal | $368 under,2019,Good
1957,GMC,2021 GMC Acadia SLE,21012 ,4.5,577 ,40000,Good Deal | $967 under,2021,Good
1958,Kia,2022 Kia Stinger GT2,11358 ,4.4,109 ,52900,Fair Deal,2022,Fair
1959,Toyota,2021 Toyota Supra 3.0,28028 ,4.4,1376 ,51000,Great Deal | $2766 under,2021,Great
1960,Ford,2020 Ford F-150 XLT,46459 ,4.6,103 ,37637,Good Deal,2020,Good
1961,Toyota,2020 Toyota Highlander XLE,34059 ,3.8,468 ,38247,Good Deal | $335 under,2020,Good
1962,Ford,2019 Ford Expedition Max XLT,26557 ,4.4,1161 ,48000,Great Deal | $3534 under,2019,Great
1963,BMW,2022 BMW X3 M40i,8307 ,4.8,719 ,59469,Good Deal | $789 under,2022,Good
1964,GMC,2022 GMC Sierra 1500 Limited Denali,17111 ,3.6,64 ,65659,Good Deal | $2110 under,2022,Good
1965,Toyota,2021 Toyota Venza LE,13198 ,4.9,3774 ,36997,Good Deal | $1768 under,2021,Good
1966,BMW,2022 BMW X7 xDrive40i,7652 ,4.7,616 ,87888,Good Deal,2022,Good
